Flight No,Date,"Version, booster",Launch site (wiki),Payload,Payload mass,Orbit (wiki),Customer,Launch outcome,Booster landing,date_only
408,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.",23.0,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.",NaT
409,"December 13, 2024 21:55[235]",F9 B5 B1082‑9,"Vandenberg, SLC-4E",Starlink: Group 11-2 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),NaT
409,"Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.",22.0,"Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.",NaT
410,"December 17, 2024 00:52[236]",F9 B5 B1085‑4,"Cape Canaveral, SLC‑40",GPS III-7 (RRT-1)[237][238],4350.0,MEO,USSF,Success,Success (ASOG),NaT
410,"Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.","Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.","Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.","Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.",2.0,"Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.","Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.","Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.","Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.",NaT
411,"December 17, 2024 13:19[239]",F9 B5 B1063‑22,"Vandenberg, SLC‑4E",NROL-149 (22 Starshield satellites)[240],,LEO,NRO,Success,Success (OCISLY),NaT
411,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,NaT
412,"December 17, 2024 22:26[241]",F9 B5 B1090‑1,"Kennedy, LC‑39A",O3b mPOWER 7 & 8,3400.0,MEO,SES,Success,Success (JRTI),NaT
412,"In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.","In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.","In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.","In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.",2020.0,"In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.","In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.","In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.","In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.",NaT
413,"December 21, 2024 11:34[243]",F9 B5 B1071‑21,"Vandenberg, SLC-4E",Bandwagon-2 (30 payload smallsat rideshare)[68][88] 425 Project Flight 3,800.0,LEO,Various Republic of Korea Armed Forces,Success,Success (LZ‑4),NaT
413,Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],45.0,Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],NaT
414,"December 23, 2024 05:35[245]",F9 B5 B1080‑14,"Kennedy, LC‑39A",Starlink: Group 12-2 (21 satellites),16500.0,LEO,SpaceX,Success,Success (JRTI),NaT
